English,Bangla
go ,য ও।
go ,য ন।
go ,য ।
run!,প ল ও!
run!,প ল ন!
who?,ক ?
wow!,ব হ!
fire!,আগ ন!
help!,ব চ ও!
help!,ব চ ন!
jump ,ঝ প দ ও।
stop!,থ ম ন!
stop!,থ ম !
stop!,থ ম!
hello!,নমস ক র!
hello!,হ য ল !
i see ,ব ঝল ম।
i try ,আম চ ষ ট কর ।
smile ,একট হ স ন।
smile ,একট হ স ।
attack!,আক রমণ!
get up ,ওঠ ।
get up ,উঠ ন।
got it!,ব ঝ গ ছ !
got it!,ধর ছ !
got it?,ব ঝ ছ ?
got it?,ব ঝ ছ ন?
got it?,ব ঝ ছ স?
he ran ,ও দ ড ল ।
i know ,আম জ ন ।
i know ,আম র জ ন আছ ।
i lost ,আম হ র গ ছ ।
i m 19 ,আম র বছর বয স।
i m ok ,আম ঠ ক আছ ।
listen ,শ ন।
listen ,শ ন ন।
no way!,ক ন মত ই ন !
really?,সত য ?
really?,ত ই ন ক?
thanks!,ধন যব দ!
thanks ,ধন যব দ।
try it ,চ খ দ খ ন।
try it ,চ খ দ খ ।
we won ,আমর জ ত গ ছ ।
why me?,আম ই ক ন?
ask tom ,টমক জ জ ঞ স কর ।
ask tom ,টমক জ জ ঞ স কর ন।
ask tom ,টমক জ জ ঞ স কর।
call me ,আম ক ড ক।
call me ,আম ক ড কব ন।
call me ,আম ক ড ক স।
call us ,আম দ র ড ক ।
call us ,আম দ র ড ক স।
call us ,আম দ র ড কব ন।
come in ,ভ তর আস ন।
come in ,ভ তর আস ।
get tom ,টমক আন ।
get tom ,টমক ড ক ।
get tom ,টমক ধর ।
get tom ,টমক আন ন।
get tom ,টমক ড ক ন।
get tom ,টমক ধর ন।
get out ,ব রও।
get out ,ব র ।
go away!,চল য ও!
go away!,চল য ন।
go away ,চল য ও।
go away ,চল য ন।
go home ,ব ড য ও।
go home ,ব ড য ।
go home ,ব ড য ন।
go slow ,আস ত য ন।
go slow ,আস ত য ও।
go slow ,আস ত য ।
goodbye!,ব দ য ।
goodbye!,এল ম!
goodbye ,ব দ য ।
he came ,স এস ছ ল ।
he came ,উন এস ছ ল ন।
he came ,ও এস ছ ল ।
he came ,ত ন এস ছ ল ন।
he runs ,এ দ ড য ।
he runs ,ইন দ ড ন।
he runs ,ও দ ড য ।
he runs ,স দ ড য ।
he runs ,উন দ ড ন।
he runs ,ত ন দ ড ন।
help me!,আম ক স হ য য কর ন!
help us ,আম দ র স হ য য কর ন।
help us ,আম দ র স হ য য কর ।
help us ,আম দ র স হ য য কর।
hit tom ,টমক ম র ।
hit tom ,টমক ম র।
hit tom ,টমক ম র ন।
i agree ,আম একমত।
i tried ,আম চ ষ ট কর ছ ল ম।
i tried ,আম চ ষ ট কর ছ ।
i m tom ,আম টম।
i m shy ,আম ল জ ক।
i m wet ,আম ভ জ গ ছ ।
it s me ,আম ।
keep it ,ওট র খ ।
keep it ,ওট র খ ন।
keep it ,ওট র খ।
me too ,আম ও।
perfect!,একদম ঠ ক!
show me ,আম ক দ খ ন।
show me ,আম ক দ খ ও।
show me ,আম ক দ খ ।
take it ,এট ন ন।
take it ,এট ন ও।
take it ,এট ন ।
tell me ,আম ক বল।
tell me ,আম ক বল ন।
tell me ,আম ক বল ।
tom ate ,টম খ য ছ ল।
